City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mitsamiouli,KM,2021-09-10 03:53:56,-11.3847,43.2844,71.89,83,20,6.91
68,Saint-Joseph,RE,2021-09-10 03:50:14,-21.3667,55.6167,68.38,65,8,4.65
69,Atlantic City,US,2021-09-10 03:53:56,39.3643,-74.4229,70.0,93,1,6.91
70,Moyale,KE,2021-09-10 03:53:57,3.5167,39.0584,64.98,77,100,11.52
71,San Juan Del Sur,NI,2021-09-10 03:53:57,11.2529,-85.8705,77.07,89,100,3.58
72,Saint-Augustin,CA,2021-09-10 03:50:14,51.226,-58.6502,60.03,98,100,13.24
73,Luis Correia,BR,2021-09-10 03:53:57,-2.8792,-41.6669,76.57,83,20,11.5
74,Lomovka,RU,2021-09-10 03:53:58,53.9194,58.3672,56.32,91,99,14.45
75,Correntina,BR,2021-09-10 03:53:58,-13.3433,-44.6367,71.33,33,0,3.06
76,Ratnagiri,IN,2021-09-10 03:53:58,16.9833,73.3,80.78,86,98,13.85
77,Mbandaka,CD,2021-09-10 03:53:59,0.0487,18.2603,68.2,96,82,1.83
78,Ulundi,ZA,2021-09-10 03:53:59,-28.3352,31.4162,57.69,85,89,3.74
79,Mumbwa,ZM,2021-09-10 03:53:59,-14.9783,27.0619,64.44,51,0,9.91
80,Damara,CF,2021-09-10 03:53:59,4.9608,18.7035,72.82,95,97,1.3
81,Vestmanna,FO,2021-09-10 03:50:16,62.1564,-7.1664,47.32,76,90,4.61
82,Candolim,IN,2021-09-10 03:54:00,15.5181,73.7626,80.6,89,75,5.75
83,Teguldet,RU,2021-09-10 03:54:00,57.3064,88.1667,45.39,88,100,9.57
84,Markapur,IN,2021-09-10 03:54:00,15.7333,79.2833,84.47,60,100,13.44
85,Jumla,NP,2021-09-10 03:54:01,29.2747,82.1838,66.2,82,91,3.02
86,Sur,OM,2021-09-10 03:54:01,22.5667,59.5289,90.34,56,91,2.04
87,Birao,CF,2021-09-10 03:50:17,10.2849,22.7882,70.83,96,92,4.29
88,Vestmannaeyjar,IS,2021-09-10 03:50:18,63.4427,-20.2734,51.39,82,80,9.6
89,Port Elizabeth,ZA,2021-09-10 03:50:18,-33.918,25.5701,57.49,88,0,8.05
90,Kavaratti,IN,2021-09-10 03:50:19,10.5669,72.642,82.22,76,26,13.42
91,Augusto Correa,BR,2021-09-10 03:54:02,-1.0217,-46.635,76.08,83,18,4.07
92,Morondava,MG,2021-09-10 03:54:02,-20.2833,44.2833,68.59,73,0,8.57
93,Buchanan,LR,2021-09-10 03:50:20,5.8808,-10.0467,76.1,88,95,7.16
94,Praia Da Vitoria,PT,2021-09-10 03:50:20,38.7333,-27.0667,73.76,94,40,14.47
95,Sao Gabriel Da Cachoeira,BR,2021-09-10 03:54:03,-0.1303,-67.0892,74.32,93,96,1.39
96,Puerto Del Rosario,ES,2021-09-10 03:54:03,28.5004,-13.8627,73.15,94,1,17.27
97,Lebu,CL,2021-09-10 03:46:05,-37.6167,-73.65,50.79,93,100,9.53
