,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ust-Shonosha,RU,61.1531,41.343,39.65,86,100,7.72,overcast clouds
80,Nouadhibou,MR,20.931,-17.0347,72.21,81,1,21.85,clear sky
81,Zhezkazgan,KZ,47.8043,67.7144,68.81,28,32,4.83,scattered clouds
82,Ginir,ET,7.1333,40.7,60.69,75,100,3.04,overcast clouds
83,Fernandina Beach,US,30.6697,-81.4626,81.97,84,40,5.01,scattered clouds
84,Progreso,MX,21.2833,-89.6667,82.51,84,98,11.39,overcast clouds
85,Donskoye,RU,45.4552,41.9741,62.73,45,71,6.42,broken clouds
86,Chabahar,IR,25.2919,60.643,84.81,61,100,2.91,overcast clouds
87,Hamilton,US,39.1834,-84.5333,67.77,89,0,3.85,clear sky
88,Viterbo,IT,42.4167,12.0833,69.4,81,91,3.2,overcast clouds
89,Moengo,SR,5.6167,-54.4,74.57,95,10,2.08,clear sky
90,Saldanha,ZA,-33.0117,17.9442,54.81,85,0,20.92,clear sky
91,Cap-Aux-Meules,CA,47.3821,-61.8597,61.72,86,100,32.08,moderate rain
92,Road Town,VG,18.4167,-64.6167,82.2,77,99,20.2,overcast clouds
93,Mirzapur,IN,25.15,82.5833,76.96,88,100,10.78,light rain
94,Dalvik,IS,65.9702,-18.5286,52.72,83,100,12.91,overcast clouds
95,Quelimane,MZ,-17.8786,36.8883,70.36,71,6,5.19,clear sky
96,Rawatbhata,IN,24.9333,75.5833,78.73,84,77,6.67,broken clouds
97,Horasan,TR,40.0458,42.1728,59.52,37,0,0.16,clear sky
98,Onega,RU,63.9061,38.1404,40.21,86,99,6.49,overcast clouds
99,Ruwi,OM,23.5996,58.5507,91.09,39,98,1.77,overcast clouds
100,Geraldton,AU,-28.7667,114.6,65.12,59,40,17.27,scattered clouds
101,Goure,NE,13.9835,10.2704,82.02,48,22,5.7,few clouds
102,Grand Gaube,MU,-20.0064,57.6608,69.39,90,81,1.99,light rain
103,Tatawin,TN,32.9297,10.4518,73.27,48,7,3.62,clear sky
104,Thompson,CA,55.7435,-97.8558,49.33,85,95,12.33,overcast clouds
105,Jonava,LT,55.0833,24.2833,48.11,87,90,6.91,overcast clouds
106,Bahia Blanca,AR,-38.7196,-62.2724,51.28,49,0,8.88,clear sky
107,Dustlik,UZ,40.5247,68.0358,80.33,16,0,3.53,clear sky
108,Aurich,DE,53.4667,7.4833,59.94,100,40,8.05,scattered clouds
109,Narsaq,GL,60.9167,-46.05,34.02,48,34,4.7,scattered clouds
110,Bakal,RU,54.9417,58.8083,37.78,92,84,8.79,broken clouds
111,Saint-Pierre,RE,-21.3393,55.4781,73.29,62,75,5.75,broken clouds
112,Port Elizabeth,ZA,-33.918,25.5701,52.11,80,66,10.27,broken clouds
113,Navalcarnero,ES,40.2891,-4.012,64.38,67,89,5.68,overcast clouds
114,Bouca,CF,6.5105,18.2733,70.02,97,100,1.36,overcast clouds
115,Sarai,RU,53.7458,41.0213,44.56,74,99,9.19,light rain
116,Murrhardt,DE,48.9819,9.5705,63.81,94,100,2.19,overcast clouds
